60.00000000	64.00000000
64.00000000	68.00000000
68.00000000	72.00000000
72.00000000	76.00000000
76.00000000	80.00000000
80.00000000	84.00000000
84.00000000	88.00000000
88.00000000	92.00000000
92.00000000	96.00000000
96.00000000	100.00000000
100.00000000	104.00000000
104.00000000	108.00000000
108.00000000	112.00000000
112.00000000	116.00000000
116.00000000	120.00000000
120.00000000	124.00000000
124.00000000	128.00000000
128.00000000	132.00000000
132.00000000	136.00000000
136.00000000	140.00000000
140.00000000	144.00000000
144.00000000	148.00000000
148.00000000	152.00000000
152.00000000	156.00000000
156.00000000	160.00000000
